Date,Department,Units_Produced,Defects,Cycle_Time,Downtime,Expected_Output,Ideal_Cycle_Time
2025-01-12,Packaging,169,7,7.67,58.18,96,5
2025-01-13,Assembly,196,2,9.35,29.3,60,8
2025-01-13,Painting,158,5,11.09,66.97,48,10
2025-01-13,Packaging,151,0,5.32,30.47,96,5
2025-01-14,Assembly,111,6,10.49,36.11,60,8
2025-01-14,Painting,155,0,11.33,117.19,48,10
2025-01-14,Packaging,191,5,5.17,41.41,96,5
2025-01-15,Assembly,100,2,11.4,63.71,60,8
2025-01-15,Painting,189,5,11.21,80.66,48,10
2025-01-15,Packaging,174,7,6.19,87.39,96,5
2025-01-16,Assembly,123,4,11.16,76.02,60,8
2025-01-16,Painting,110,0,10.75,60.98,48,10
2025-01-16,Packaging,179,2,7.95,81.31,96,5
2025-01-17,Assembly,118,9,10.56,27.18,60,8
2025-01-17,Painting,195,6,10.87,82.91,48,10
2025-01-17,Packaging,138,1,9.19,81.08,96,5
2025-01-18,Assembly,156,8,9.05,64.97,60,8
2025-01-18,Painting,141,2,11.14,20.99,48,10
2025-01-18,Packaging,159,0,6.21,11.17,96,5
2025-01-19,Assembly,111,4,12.5,75.97,60,8
2025-01-19,Painting,108,8,11.75,87.11,48,10
2025-01-19,Packaging,102,3,9.44,93.59,96,5
2025-01-20,Assembly,123,3,8.42,19.4,60,8
2025-01-20,Painting,137,7,13.03,1.1,48,10
2025-01-20,Packaging,188,2,9.87,34.07,96,5
2025-01-21,Assembly,181,1,11.46,78.24,60,8
2025-01-21,Painting,140,3,13.56,28.47,48,10
2025-01-21,Packaging,120,3,6.83,89.3,96,5
2025-01-22,Assembly,166,0,9.54,65.1,60,8
2025-01-22,Painting,158,2,13.18,30.06,48,10
2025-01-22,Packaging,129,5,9.89,58.41,96,5
2025-01-23,Assembly,107,10,10.17,42.01,60,8
2025-01-23,Painting,196,0,10.98,86.69,48,10
2025-01-23,Packaging,118,3,5.12,77.46,96,5
2025-01-24,Assembly,116,4,12.42,89.73,60,8
2025-01-24,Painting,136,7,11.65,66.33,48,10
2025-01-24,Packaging,194,2,9.9,9.04,96,5
2025-01-25,Assembly,184,6,9.34,58.23,60,8
2025-01-25,Painting,117,8,11.97,101.31,48,10
2025-01-25,Packaging,166,7,5.35,25.07,96,5
2025-01-26,Assembly,146,5,9.79,30.5,60,8
2025-01-26,Painting,101,9,13.7,83.64,48,10
2025-01-26,Packaging,142,5,6.8,35.23,96,5
2025-01-27,Assembly,125,2,9.28,73.38,60,8
2025-01-27,Painting,159,9,10.03,75.35,48,10
2025-01-27,Packaging,119,0,5.35,47.61,96,5
2025-01-28,Assembly,113,2,9.69,45.07,60,8
2025-01-28,Painting,165,6,13.36,39.38,48,10
2025-01-28,Packaging,157,5,7.95,3.66,96,5
2025-01-29,Assembly,151,9,12.11,43.22,60,8
2025-01-29,Painting,159,4,12.61,92.4,48,10
2025-01-29,Packaging,104,6,5.43,6.2,96,5
2025-01-30,Assembly,193,2,11.19,87.13,60,8
2025-01-30,Painting,112,1,12.58,38.75,48,10
2025-01-30,Packaging,116,7,6.35,52.68,96,5
2025-01-31,Assembly,154,9,8.13,115.52,60,8
2025-01-31,Painting,122,8,13.44,6.98,48,10
2025-01-31,Packaging,100,1,6.2,11.26,96,5
2025-02-01,Assembly,188,7,12.67,76.59,60,8
2025-02-01,Painting,160,6,13.29,52.28,48,10
2025-02-01,Packaging,192,6,5.24,67.92,96,5
2025-02-02,Assembly,150,4,8.6,41.03,60,8
2025-02-02,Painting,191,4,10.47,37.37,48,10
2025-02-02,Packaging,161,3,5.88,2.06,96,5
2025-02-03,Assembly,189,4,10.37,20.78,60,8
2025-02-03,Painting,193,4,11.99,73.9,48,10
2025-02-03,Packaging,168,3,5.23,44.95,96,5
2025-02-04,Assembly,118,9,10.51,64.73,60,8
2025-02-04,Painting,103,7,14.72,113.31,48,10
2025-02-04,Packaging,191,10,9.0,81.26,96,5
2025-02-05,Assembly,134,0,10.29,65.47,60,8
2025-02-05,Painting,200,2,14.1,78.18,48,10
2025-02-05,Packaging,142,1,5.19,74.19,96,5
2025-02-06,Assembly,186,0,11.28,46.25,60,8
2025-02-06,Painting,173,9,11.7,31.28,48,10
2025-02-06,Packaging,106,3,8.46,41.8,96,5
2025-02-07,Assembly,174,7,11.68,96.42,60,8
2025-02-07,Painting,135,9,12.12,68.22,48,10
2025-02-07,Packaging,198,0,8.66,15.32,96,5
2025-02-08,Assembly,195,7,12.34,67.42,60,8
2025-02-08,Painting,111,0,13.4,88.79,48,10
2025-02-08,Packaging,198,8,6.89,64.12,96,5
2025-02-09,Assembly,183,8,9.6,107.46,60,8
2025-02-09,Painting,148,3,10.05,108.65,48,10
2025-02-09,Packaging,175,8,6.6,114.01,96,5
2025-02-10,Assembly,151,2,10.47,9.99,60,8
2025-02-10,Painting,168,2,13.01,66.44,48,10
2025-02-10,Packaging,184,3,9.73,93.76,96,5
2025-02-11,Assembly,138,4,10.47,6.91,60,8
2025-02-11,Painting,194,9,12.21,106.52,48,10
2025-02-11,Packaging,174,1,9.84,82.56,96,5
2025-02-12,Assembly,157,0,8.51,10.09,60,8
2025-02-12,Painting,112,7,10.36,98.62,48,10
2025-02-12,Packaging,165,4,7.57,27.99,96,5
2025-02-13,Assembly,107,0,12.4,28.4,60,8
2025-02-13,Painting,170,8,12.96,42.03,48,10
2025-02-13,Packaging,130,2,8.89,67.01,96,5
2025-02-14,Assembly,190,9,12.53,13.34,60,8
2025-02-14,Painting,166,1,12.34,6.76,48,10
2025-02-14,Packaging,191,7,5.59,77.91,96,5
2025-02-15,Assembly,100,2,10.92,115.46,60,8
2025-02-15,Painting,162,0,10.41,63.4,48,10
2025-02-15,Packaging,105,9,5.06,116.39,96,5
2025-02-16,Assembly,160,4,8.22,110.96,60,8
2025-02-16,Painting,200,3,12.77,116.32,48,10
2025-02-16,Packaging,117,8,6.08,35.34,96,5
2025-02-17,Assembly,100,4,11.48,46.1,60,8
2025-02-17,Painting,186,8,14.58,115.04,48,10
2025-02-17,Packaging,115,7,6.97,12.81,96,5
2025-02-18,Assembly,107,9,8.94,55.64,60,8
2025-02-18,Painting,157,1,11.33,43.24,48,10
2025-02-18,Packaging,199,10,8.49,64.33,96,5
2025-02-19,Assembly,132,4,12.07,82.17,60,8
2025-02-19,Painting,128,2,14.11,113.98,48,10
2025-02-19,Packaging,168,8,7.09,111.93,96,5
2025-02-20,Assembly,104,6,10.06,93.31,60,8
2025-02-20,Painting,117,0,11.88,89.95,48,10
2025-02-20,Packaging,188,5,9.15,68.29,96,5
2025-02-21,Assembly,132,1,8.18,16.06,60,8
2025-02-21,Painting,120,6,14.32,97.55,48,10
2025-02-21,Packaging,194,4,9.98,66.65,96,5
2025-02-22,Assembly,200,4,12.72,101.96,60,8
2025-02-22,Painting,116,4,12.25,15.5,48,10
2025-02-22,Packaging,150,3,6.14,80.6,96,5
2025-02-23,Assembly,131,1,9.79,13.63,60,8
2025-02-23,Painting,125,9,12.6,92.68,48,10
2025-02-23,Packaging,149,0,7.76,67.31,96,5
2025-02-24,Assembly,193,10,10.02,16.08,60,8
2025-02-24,Painting,146,6,13.78,74.44,48,10
2025-02-24,Packaging,165,10,6.06,16.36,96,5
2025-02-25,Assembly,197,5,11.04,76.4,60,8
2025-02-25,Painting,178,10,10.46,87.17,48,10
2025-02-25,Packaging,137,0,8.92,47.59,96,5
2025-02-26,Assembly,150,0,12.75,17.65,60,8
2025-02-26,Painting,155,0,12.46,30.99,48,10
2025-02-26,Packaging,187,4,9.9,59.11,96,5
2025-02-27,Assembly,176,10,10.9,40.99,60,8
2025-02-27,Painting,122,6,12.92,48.04,48,10
2025-02-27,Packaging,115,7,5.9,83.58,96,5
2025-02-28,Assembly,124,2,12.37,61.83,60,8
2025-02-28,Painting,131,1,13.01,26.86,48,10
2025-02-28,Packaging,120,4,6.73,41.71,96,5
2025-03-01,Assembly,121,4,10.74,64.13,60,8
2025-03-01,Painting,111,9,14.47,15.45,48,10
2025-03-01,Packaging,189,10,5.2,95.93,96,5
2025-03-02,Assembly,185,7,12.37,110.5,60,8
2025-03-02,Painting,160,0,11.38,96.74,48,10
2025-03-02,Packaging,198,3,6.05,44.46,96,5
2025-03-03,Assembly,185,9,11.8,63.75,60,8
2025-03-03,Painting,101,9,10.18,30.29,48,10
2025-03-03,Packaging,106,2,9.48,61.4,96,5
2025-03-04,Assembly,117,9,9.77,47.66,60,8
2025-03-04,Painting,163,8,13.69,21.87,48,10
2025-03-04,Packaging,138,8,9.2,10.7,96,5
2025-03-05,Assembly,143,8,12.45,71.23,60,8
2025-03-05,Painting,167,9,13.95,59.81,48,10
2025-03-05,Packaging,199,5,7.93,89.45,96,5
2025-03-06,Assembly,182,9,9.42,43.57,60,8
2025-03-06,Painting,125,1,11.22,59.79,48,10
2025-03-06,Packaging,169,4,9.67,0.9,96,5
2025-03-07,Assembly,120,5,9.83,58.54,60,8
2025-03-07,Painting,193,10,10.44,96.7,48,10
2025-03-07,Packaging,123,6,9.21,6.2,96,5
2025-03-08,Assembly,130,7,11.48,119.67,60,8
2025-03-08,Painting,105,1,12.88,110.09,48,10
2025-03-08,Packaging,178,5,9.88,58.89,96,5
2025-03-09,Assembly,150,8,11.59,64.2,60,8
2025-03-09,Painting,125,2,14.19,24.61,48,10
2025-03-09,Packaging,125,5,8.55,23.94,96,5
2025-03-10,Assembly,119,0,10.65,84.87,60,8
2025-03-10,Painting,113,5,12.91,18.52,48,10
2025-03-10,Packaging,199,10,7.97,44.31,96,5
2025-03-11,Assembly,109,4,8.32,118.8,60,8
2025-03-11,Painting,112,7,14.05,30.56,48,10
2025-03-11,Packaging,200,8,8.8,71.48,96,5
2025-03-12,Assembly,123,5,10.06,41.86,60,8
2025-03-12,Painting,148,4,14.15,115.8,48,10
2025-03-12,Packaging,177,4,8.65,112.6,96,5
2025-03-13,Assembly,175,2,8.33,88.93,60,8
2025-03-13,Painting,121,7,14.14,90.06,48,10
2025-03-13,Packaging,159,2,5.82,97.75,96,5
2025-03-14,Assembly,177,9,12.54,37.94,60,8
2025-03-14,Painting,141,8,13.41,54.23,48,10
2025-03-14,Packaging,113,2,8.12,64.77,96,5
2025-03-15,Assembly,162,0,9.16,107.95,60,8
2025-03-15,Painting,165,4,14.53,74.91,48,10
2025-03-15,Packaging,150,5,9.7,75.32,96,5
2025-03-16,Assembly,171,9,8.7,95.28,60,8
2025-03-16,Painting,128,0,12.67,107.27,48,10
2025-03-16,Packaging,135,5,8.76,84.84,96,5
2025-03-17,Assembly,126,6,8.72,24.55,60,8
2025-03-17,Painting,165,9,12.47,90.56,48,10
2025-03-17,Packaging,137,3,7.29,72.47,96,5
2025-03-18,Assembly,114,7,8.75,27.51,60,8
2025-03-18,Painting,175,1,10.06,71.81,48,10
2025-03-18,Packaging,135,3,8.58,71.88,96,5
2025-03-19,Assembly,119,10,12.8,41.1,60,8
2025-03-19,Painting,105,7,12.12,34.55,48,10
2025-03-19,Packaging,111,9,7.93,60.71,96,5
2025-03-20,Assembly,188,0,8.09,104.65,60,8
2025-03-20,Painting,175,3,14.59,94.81,48,10
2025-03-20,Packaging,136,7,8.26,92.55,96,5
2025-03-21,Assembly,130,9,8.34,9.28,60,8
2025-03-21,Painting,177,7,14.2,109.28,48,10
2025-03-21,Packaging,100,4,9.92,100.67,96,5
2025-03-22,Assembly,153,6,12.6,104.39,60,8
2025-03-22,Painting,154,2,12.96,47.88,48,10
2025-03-22,Packaging,172,4,6.68,96.34,96,5
2025-03-23,Assembly,125,8,8.57,49.74,60,8
2025-03-23,Painting,189,10,14.61,55.88,48,10
2025-03-23,Packaging,190,1,9.59,70.45,96,5
2025-03-24,Assembly,158,10,8.7,21.17,60,8
2025-03-24,Painting,170,3,12.09,109.78,48,10
2025-03-24,Packaging,148,10,8.16,1.57,96,5
2025-03-25,Assembly,184,0,8.89,115.33,60,8
2025-03-25,Painting,148,3,12.07,10.24,48,10
2025-03-25,Packaging,160,7,7.51,71.45,96,5
2025-03-26,Assembly,112,6,10.13,95.97,60,8
2025-03-26,Painting,161,0,10.18,56.65,48,10
2025-03-26,Packaging,139,2,5.33,93.06,96,5
2025-03-27,Assembly,146,1,10.62,52.89,60,8
2025-03-27,Painting,193,5,13.83,12.36,48,10
2025-03-27,Packaging,107,6,9.73,44.8,96,5
2025-03-28,Assembly,173,2,11.22,49.05,60,8
2025-03-28,Painting,186,6,10.78,85.92,48,10
2025-03-28,Packaging,192,7,5.14,26.64,96,5
2025-03-29,Assembly,187,6,11.36,2.37,60,8
2025-03-29,Painting,153,8,14.0,21.43,48,10
2025-03-29,Packaging,196,7,5.5,29.18,96,5
2025-03-30,Assembly,177,7,12.03,115.52,60,8
2025-03-30,Painting,136,5,11.02,35.18,48,10
2025-03-30,Packaging,147,1,5.07,10.26,96,5
2025-03-31,Assembly,122,4,8.13,21.77,60,8
2025-03-31,Painting,135,1,14.46,98.09,48,10
2025-03-31,Packaging,119,10,6.3,45.56,96,5
2025-04-01,Assembly,186,6,9.34,74.9,60,8
2025-04-01,Painting,137,8,12.18,35.34,48,10
2025-04-01,Packaging,185,7,5.57,67.89,96,5
2025-04-02,Assembly,158,6,12.0,51.03,60,8
2025-04-02,Painting,180,8,12.71,76.02,48,10
2025-04-02,Packaging,172,5,8.23,50.6,96,5
2025-04-03,Assembly,125,9,12.5,82.95,60,8
2025-04-03,Painting,136,10,14.11,63.56,48,10
2025-04-03,Packaging,141,3,7.49,8.06,96,5
2025-04-04,Assembly,136,8,10.49,86.42,60,8
2025-04-04,Painting,185,4,11.32,31.98,48,10
2025-04-04,Packaging,190,7,6.25,75.97,96,5
2025-04-05,Assembly,152,6,10.87,100.57,60,8
2025-04-05,Painting,184,9,12.11,42.46,48,10
2025-04-05,Packaging,153,10,5.92,10.84,96,5
2025-04-06,Assembly,125,4,12.19,52.46,60,8
2025-04-06,Painting,135,0,13.61,73.25,48,10
2025-04-06,Packaging,153,1,6.98,114.49,96,5
2025-04-07,Assembly,121,4,10.42,32.39,60,8
2025-04-07,Painting,119,2,12.98,6.17,48,10
2025-04-07,Packaging,161,10,7.98,40.11,96,5
2025-04-08,Assembly,125,1,8.53,9.02,60,8
2025-04-08,Painting,116,0,12.48,82.61,48,10
2025-04-08,Packaging,141,8,6.23,98.29,96,5
2025-04-09,Assembly,200,2,9.36,70.83,60,8
2025-04-09,Painting,118,4,10.46,110.08,48,10
2025-04-09,Packaging,160,0,9.75,53.52,96,5
2025-04-10,Assembly,146,7,11.79,76.67,60,8
2025-04-10,Painting,180,6,13.62,76.47,48,10
2025-04-10,Packaging,171,8,9.52,77.6,96,5
2025-04-11,Assembly,158,9,8.26,80.39,60,8
2025-04-11,Painting,131,9,12.94,119.92,48,10
2025-04-11,Packaging,125,4,7.37,37.54,96,5
2025-04-12,Assembly,178,4,11.66,23.11,60,8
2025-04-12,Painting,171,1,12.11,95.44,48,10
2025-04-12,Packaging,194,3,9.22,38.29,96,5
2025-04-13,Assembly,116,7,9.15,14.47,60,8
2025-04-13,Painting,197,2,13.48,40.78,48,10
2025-04-13,Packaging,154,6,5.33,37.83,96,5
2025-04-14,Assembly,103,5,9.59,75.11,60,8
2025-04-14,Painting,115,9,14.38,50.1,48,10
2025-04-14,Packaging,198,9,9.95,0.03,96,5
2025-04-15,Assembly,112,1,12.7,95.85,60,8
2025-04-15,Painting,138,3,10.26,10.63,48,10
2025-04-15,Packaging,161,4,7.4,69.69,96,5
2025-04-16,Assembly,109,8,9.68,62.7,60,8
2025-04-16,Painting,164,0,10.55,42.55,48,10
2025-04-16,Packaging,129,1,6.48,28.03,96,5
2025-04-17,Assembly,124,0,12.55,5.41,60,8
2025-04-17,Painting,114,0,11.96,14.93,48,10
2025-04-17,Packaging,158,9,8.99,31.08,96,5
2025-04-18,Assembly,169,6,12.4,113.37,60,8
2025-04-18,Painting,110,1,10.84,118.94,48,10
2025-04-18,Packaging,158,7,9.71,77.96,96,5
2025-04-19,Assembly,173,10,8.88,26.46,60,8
2025-04-19,Painting,102,7,11.75,6.94,48,10
2025-04-19,Packaging,146,6,9.42,111.33,96,5
2025-04-20,Assembly,160,10,9.98,90.99,60,8
2025-04-20,Painting,161,0,10.77,97.9,48,10
2025-04-20,Packaging,112,7,8.74,4.18,96,5
2025-04-21,Assembly,167,4,8.46,105.3,60,8
2025-04-21,Painting,166,10,10.65,106.65,48,10
2025-04-21,Packaging,124,1,9.31,97.14,96,5
2025-04-22,Assembly,139,8,10.75,10.44,60,8
2025-04-22,Painting,187,5,11.3,86.81,48,10
2025-04-22,Packaging,189,1,5.41,26.42,96,5
2025-04-23,Assembly,176,4,12.96,7.38,60,8
2025-04-23,Painting,144,2,14.12,41.74,48,10
2025-04-23,Packaging,197,7,7.83,32.04,96,5
2025-04-24,Assembly,105,7,11.99,79.01,60,8
2025-04-24,Painting,196,10,14.34,85.0,48,10
2025-04-24,Packaging,144,8,9.65,12.7,96,5
2025-04-25,Assembly,126,5,8.95,105.8,60,8
2025-04-25,Painting,144,9,12.33,105.49,48,10
2025-04-25,Packaging,141,9,9.1,27.44,96,5
2025-04-26,Assembly,138,1,12.09,99.86,60,8
2025-04-26,Painting,192,6,10.97,10.09,48,10
2025-04-26,Packaging,126,0,7.8,13.9,96,5
2025-04-27,Assembly,197,7,12.09,15.41,60,8
2025-04-27,Painting,182,6,12.71,115.56,48,10
2025-04-27,Packaging,162,4,5.51,112.47,96,5
2025-04-28,Assembly,195,3,8.34,36.12,60,8
2025-04-28,Painting,116,5,13.54,56.83,48,10
2025-04-28,Packaging,121,9,5.37,102.29,96,5
2025-04-29,Assembly,113,3,11.24,71.33,60,8
2025-04-29,Painting,175,6,10.33,98.58,48,10
2025-04-29,Packaging,178,2,6.26,0.12,96,5
2025-04-30,Assembly,197,1,12.99,51.14,60,8
2025-04-30,Painting,112,8,10.82,95.38,48,10
2025-04-30,Packaging,128,10,6.1,9.89,96,5
2025-05-01,Assembly,177,3,11.27,32.79,60,8
2025-05-01,Painting,180,7,12.16,113.23,48,10
2025-05-01,Packaging,179,4,8.19,47.71,96,5
2025-05-02,Assembly,156,4,12.92,49.12,60,8
2025-05-02,Painting,137,1,11.07,3.74,48,10
2025-05-02,Packaging,124,7,6.84,103.72,96,5
2025-05-03,Assembly,179,10,12.84,22.26,60,8
2025-05-03,Painting,116,4,10.77,54.44,48,10
2025-05-03,Packaging,149,3,5.09,95.62,96,5
2025-05-04,Assembly,143,4,12.56,116.1,60,8
2025-05-04,Painting,119,8,10.01,71.8,48,10
2025-05-04,Packaging,183,3,7.79,27.06,96,5
2025-05-05,Assembly,159,5,10.91,32.28,60,8
2025-05-05,Painting,187,7,11.55,54.63,48,10
2025-05-05,Packaging,171,4,5.36,47.1,96,5
2025-05-06,Assembly,194,5,9.46,83.4,60,8
2025-05-06,Painting,132,5,14.54,86.91,48,10
2025-05-06,Packaging,150,7,5.73,12.34,96,5
2025-05-07,Assembly,145,5,11.09,84.3,60,8
2025-05-07,Painting,173,7,10.05,39.18,48,10
2025-05-07,Packaging,101,0,5.44,42.08,96,5
2025-05-08,Assembly,132,3,9.79,38.65,60,8
2025-05-08,Painting,137,6,11.0,83.18,48,10
2025-05-08,Packaging,114,1,5.21,80.45,96,5
2025-05-09,Assembly,174,2,12.48,71.37,60,8
2025-05-09,Painting,172,6,13.06,35.86,48,10
2025-05-09,Packaging,175,7,9.74,75.04,96,5
2025-05-10,Assembly,183,10,10.42,79.3,60,8
2025-05-10,Painting,179,3,12.99,94.06,48,10
2025-05-10,Packaging,102,8,5.82,52.63,96,5
2025-05-11,Assembly,181,5,10.97,78.04,60,8
2025-05-11,Painting,124,2,11.1,117.1,48,10
2025-05-11,Packaging,199,7,9.36,52.04,96,5
2025-05-12,Assembly,131,2,8.81,2.5,60,8
2025-05-12,Painting,182,5,11.66,65.1,48,10
2025-05-12,Packaging,158,2,5.41,48.39,96,5
2025-05-13,Assembly,160,5,8.15,30.92,60,8
2025-05-13,Painting,175,0,14.34,87.26,48,10
2025-05-13,Packaging,160,7,7.13,41.51,96,5
2025-05-14,Assembly,119,7,10.72,61.68,60,8
2025-05-14,Painting,135,9,13.63,58.4,48,10
2025-05-14,Packaging,165,1,8.96,78.6,96,5
2025-05-15,Assembly,157,5,9.8,46.06,60,8
2025-05-15,Painting,117,7,14.18,28.3,48,10
2025-05-15,Packaging,125,7,7.03,72.22,96,5
2025-05-16,Assembly,141,1,8.9,102.53,60,8
2025-05-16,Painting,140,5,14.35,53.44,48,10
2025-05-16,Packaging,188,3,7.96,19.62,96,5
2025-05-17,Assembly,188,8,10.0,102.96,60,8
2025-05-17,Painting,104,0,13.87,15.7,48,10
2025-05-17,Packaging,144,6,7.27,28.33,96,5
2025-05-18,Assembly,166,5,8.85,62.37,60,8
2025-05-18,Painting,109,8,12.15,29.85,48,10
2025-05-18,Packaging,142,0,6.26,43.11,96,5
2025-05-19,Assembly,127,8,11.03,42.81,60,8
2025-05-19,Painting,175,4,13.91,84.65,48,10
2025-05-19,Packaging,155,5,6.03,13.43,96,5
2025-05-20,Assembly,177,1,8.61,27.74,60,8
2025-05-20,Painting,125,0,10.61,54.26,48,10
2025-05-20,Packaging,158,4,5.52,70.16,96,5
2025-05-21,Assembly,111,9,9.99,57.59,60,8
2025-05-21,Painting,142,1,11.62,116.77,48,10
2025-05-21,Packaging,138,7,7.58,58.66,96,5
2025-05-22,Assembly,143,5,8.7,3.6,60,8
2025-05-22,Painting,144,3,13.52,24.22,48,10
2025-05-22,Packaging,107,1,5.94,87.7,96,5
2025-05-23,Assembly,128,5,12.34,21.26,60,8
2025-05-23,Painting,133,0,14.19,113.35,48,10
2025-05-23,Packaging,173,1,6.22,99.71,96,5
2025-05-24,Assembly,146,7,11.84,13.57,60,8
2025-05-24,Painting,188,3,13.38,25.88,48,10
2025-05-24,Packaging,179,4,8.33,69.26,96,5
2025-05-25,Assembly,161,1,13.0,5.79,60,8
2025-05-25,Painting,172,0,12.03,104.49,48,10
2025-05-25,Packaging,172,4,7.84,88.61,96,5
2025-05-26,Assembly,167,1,10.02,39.24,60,8
2025-05-26,Painting,118,5,14.51,105.35,48,10
2025-05-26,Packaging,122,2,9.34,45.08,96,5
2025-05-27,Assembly,153,6,8.03,38.95,60,8
2025-05-27,Painting,175,9,11.98,83.46,48,10
2025-05-27,Packaging,159,8,7.98,65.48,96,5
2025-05-28,Assembly,134,5,8.37,72.41,60,8
2025-05-28,Painting,177,9,13.8,60.05,48,10
2025-05-28,Packaging,184,9,9.76,101.66,96,5
2025-05-29,Assembly,127,4,12.07,13.07,60,8
2025-05-29,Painting,104,1,12.63,29.53,48,10
2025-05-29,Packaging,199,10,8.82,97.56,96,5
2025-05-30,Assembly,142,4,8.98,0.91,60,8
2025-05-30,Painting,146,4,14.49,29.22,48,10
2025-05-30,Packaging,174,2,5.3,112.13,96,5
2025-05-31,Assembly,185,2,8.51,58.3,60,8
2025-05-31,Painting,151,10,14.65,63.87,48,10
2025-05-31,Packaging,107,9,8.05,85.94,96,5
2025-06-01,Assembly,148,3,12.12,62.7,60,8
2025-06-01,Painting,106,9,14.0,22.15,48,10
2025-06-01,Packaging,162,7,8.97,22.23,96,5
2025-06-02,Assembly,155,3,10.12,10.44,60,8
2025-06-02,Painting,153,0,11.87,63.18,48,10
2025-06-02,Packaging,146,10,5.01,76.56,96,5
2025-06-03,Assembly,120,5,10.97,95.25,60,8
2025-06-03,Painting,114,9,10.87,43.29,48,10
2025-06-03,Packaging,141,7,8.85,66.8,96,5
2025-06-04,Assembly,190,4,9.51,87.83,60,8
2025-06-04,Painting,199,6,13.34,11.46,48,10
2025-06-04,Packaging,135,9,7.26,70.39,96,5
2025-06-05,Assembly,146,0,11.68,103.54,60,8
2025-06-05,Painting,120,0,10.89,37.47,48,10
2025-06-05,Packaging,134,6,7.73,27.83,96,5
2025-06-06,Assembly,177,8,10.48,118.53,60,8
2025-06-06,Painting,134,6,13.48,48.52,48,10
2025-06-06,Packaging,138,8,8.46,118.95,96,5
2025-06-07,Assembly,159,2,11.02,40.47,60,8
2025-06-07,Painting,131,6,13.86,31.79,48,10
2025-06-07,Packaging,200,0,7.98,48.14,96,5
2025-06-08,Assembly,196,10,9.72,74.06,60,8
2025-06-08,Painting,112,0,14.16,80.35,48,10
2025-06-08,Packaging,143,10,8.2,32.54,96,5
2025-06-09,Assembly,171,1,11.4,27.7,60,8
2025-06-09,Painting,157,2,10.95,6.28,48,10
2025-06-09,Packaging,143,1,6.81,119.46,96,5
2025-06-10,Assembly,186,3,8.3,67.48,60,8
2025-06-10,Painting,135,4,10.88,82.8,48,10
2025-06-10,Packaging,154,9,5.48,54.04,96,5
2025-06-11,Assembly,115,0,9.5,117.75,60,8
2025-06-11,Painting,102,6,12.0,18.29,48,10
2025-06-11,Packaging,104,3,9.64,64.79,96,5
2025-06-12,Assembly,129,4,8.46,30.85,60,8
2025-06-12,Painting,171,6,14.32,73.02,48,10
2025-06-12,Packaging,175,5,5.8,7.57,96,5
2025-06-13,Assembly,135,0,9.14,41.0,60,8
2025-06-13,Painting,184,1,14.68,66.46,48,10
2025-06-13,Packaging,174,2,6.98,53.66,96,5
2025-06-14,Assembly,167,1,10.58,110.33,60,8
2025-06-14,Painting,142,5,12.83,46.93,48,10
2025-06-14,Packaging,111,0,5.58,98.09,96,5
2025-06-15,Assembly,134,7,10.66,86.57,60,8
2025-06-15,Painting,166,6,11.52,9.71,48,10
2025-06-15,Packaging,120,2,5.87,83.39,96,5
2025-06-16,Assembly,181,3,10.87,111.93,60,8
2025-06-16,Painting,165,8,12.4,37.65,48,10
2025-06-16,Packaging,194,0,8.03,91.78,96,5
2025-06-17,Assembly,151,2,12.76,99.02,60,8
